a-link-normal href 2,s-image src,a-size-base-plus,a-price
https://www.amazon.es/Nuevo-Apple-MacBook-pulgadas-n%C3%BAcleo/dp/B07V49YNHX/ref=sr_1_605?qid=1640827208&s=computers&sr=1-605,https://m.media-amazon.com/images/I/51EyXEfLs3L._AC_UL320_.jpg,"Nuevo Apple MacBook Air (de 13 pulgadas, Intel Core i5 de doble núcleo a 1,6 GHz, 8GB RAM, 128GB) - Plata",
https://www.amazon.es/Dell-Latitude-E5450-Profesional-Reacondicionado/dp/B07R27RGYB/ref=sr_1_606?qid=1640827208&s=computers&sr=1-606,https://m.media-amazon.com/images/I/61hDhRD9oSL._AC_UL320_.jpg,"Dell Latitude E5450 - Ordenador portátil de 14"" (Intel Core i5-5300U, 8 GB RAM, Disco SSD de 240GB, Windows 10 Profesional) Negro (Reacondicionado)",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=25&qid=1640827154&ref=sr_pg_24#,https://m.media-amazon.com/images/I/61Aor4R7sKL._AC_UL320_.jpg,"Jumper Portátiles Full HD de 14.0 Pulgadas, Microsoft Office 365, 8GB+256GB, PC Laptop de Sistema Operativo Windows 10, Celeron N4020, Cámara Frontal HD, Expandible 256GB TF - Teclado QWERTY Español",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=25&qid=1640827154&ref=sr_pg_24#,https://m.media-amazon.com/images/I/71NOqOFExfS._AC_UL320_.jpg,"LG - 14Z90P - Portátil ultraligero 14"" WUXGA (Intel EvoTM i7 11ª Generación, 16GB RAM, 1TB SSD, Iris Xe Graphics, Windows 10 Home) - Teclado QWERTY Español, Negro","1.599,00€"
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_computers_sr_pg25_1?ie=UTF8&adId=A01882793UGGRJD8MF44H&url=%2FAcer-Chromebook-311-Ordenador-Port%25C3%25A1til%2Fdp%2FB095CTNX87%2Fref%3Dsr_1_609_sspa%3Fqid%3D1640827208%26s%3Dcomputers%26sr%3D1-609-spons%26psc%3D1&qualifier=1640827208&id=1816572557787770&widgetName=sp_btf_browse,https://m.media-amazon.com/images/I/81qBZznKv0S._AC_UL320_.jpg,"Acer Chromebook 311 - Ordenador Portátil 11"" HD (MTK MT8183, 4GB RAM, 32GB eMMc, UMA Graphics, Chrome OS), Color Plata - Teclado Qwerty Español","259,00€"
https://www.amazon.es/HP-Elitebook-Professional-reacondicionado-Certificado/dp/B07L4XJGCP/ref=sr_1_601?qid=1640827262&s=computers&sr=1-601,https://m.media-amazon.com/images/I/61DWP2ShIEL._AC_UL320_.jpg,"Portátil HP Elitebook 820 G1 Business # 12,5, Intel Core i5 1,9 GHz, 8 GB de RAM, 180 GB SSD, WLAN, USB 3.0, webcam, Windows 10 Professional (reacondicionado) (certificado y reacondicionado)",
https://www.amazon.es/Huawei-MateBook-Ordenador-port%C3%A1til-i3-8130U/dp/B07G5JNLQQ/ref=sr_1_602?qid=1640827262&s=computers&sr=1-602,https://m.media-amazon.com/images/I/61Iw+cj4tyL._AC_UL320_.jpg,"Huawei MateBook D - Ordenador portátil ultrafino 15.6"" FullHD (Intel Core i3-8130U, 8GB RAM, 256GB SDD, Intel Graphics, Windows 10) Plata - Teclado QWERTY Español",
https://www.amazon.es/Y13-Ordenadores-port%C3%A1tiles-Convertible-Pantalla/dp/B08BZC2D5Z/ref=sr_1_603?qid=1640827262&s=computers&sr=1-603,https://m.media-amazon.com/images/I/712HO-jkK8L._AC_UL320_.jpg,"BMAX Y13 Ordenadores portátiles, 360° Convertible táctil Pantalla 13.3 Pulgada FHD 1080P , Intel N4120, 8GB RAM+ 256GB SSD, Windows 10, BT4.2",
https://www.amazon.es/MEDION-E4271-Ordenador-port%C3%A1til-Graphics/dp/B07R9CRQLP/ref=sr_1_604?qid=1640827262&s=computers&sr=1-604,https://m.media-amazon.com/images/I/81KdnJqjsSL._AC_UL320_.jpg,"MEDION AKOYA E4271 - Portátil convertible 14"" Full HD (Intel Celeron N4000, 4GB RAM, 64GB SSD, Intel UHD Graphics, Windows 10), Color gris - Teclado QWERTY Español",
https://www.amazon.es/E510MA-BQ509TS-N4020-128SSD-W10-Home/dp/B09DGNJM93/ref=sr_1_605?qid=1640827262&s=computers&sr=1-605,https://m.media-amazon.com/images/I/71jx3NzhoHL._AC_UL320_.jpg,"E510MA-BQ509TS /15,6/N4020/4G/128SSD/W10 Home S",
https://www.amazon.es/MSI-Modern-AM271P-11M-030EU-Anti-Glare/dp/B08Z82FH81/ref=sr_1_606?qid=1640827262&s=computers&sr=1-606,https://m.media-amazon.com/images/I/819m1NhYXPL._AC_UL320_.jpg,"MSI Modern AM271P 11M-030EU - All In One, 27"" IPS FHD 1920x1080, Intel Core i7-1165G7, Anti-Glare, blanco",
https://www.amazon.es/E24QG4-23-8IN-IPS-HDMI-MNTR/dp/B08P1Z6Y28/ref=sr_1_607?qid=1640827262&s=computers&sr=1-607,https://m.media-amazon.com/images/I/91NRk4w72UL._AC_UL320_.jpg,E24QG4 23.8IN IPS VGA/HDMI/USB MNTR,
https://www.amazon.es/ASUS-VivoBook-15-K513EA-BQ684T-i7-1165G7/dp/B08BZ5NSGS/ref=sr_1_608?qid=1640827262&s=computers&sr=1-608,https://m.media-amazon.com/images/I/713AupOpxGL._AC_UL320_.jpg,"ASUS VivoBook 15 K513EA-BQ684T - Portátil .6"" Full HD (Core i7-1165G7, 8GB RAM, 512GB SSD, Iris Xe Graphics, Windows 10 Home) Negro Indie - Teclado QWERTY español",
https://www.amazon.es/MSI-Modern-A10RAS-089XES-Ordenador-i5-10210U/dp/B086MBT719/ref=sr_1_609?qid=1640827262&s=computers&sr=1-609,https://m.media-amazon.com/images/I/71NpH7YASWL._AC_UL320_.jpg,"MSI Modern 15 A10RAS-089XES - Ordenador portátil de 15.6"" FullHD (Intel Core i5-10210U, 16 GB RAM, 512GB SSD, Nvidia MX330-2GB, sin sistema operativo) negro - Teclado QWERTY Español",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=26&qid=1640827208&ref=sr_pg_25#,https://m.media-amazon.com/images/I/71CDxVbaE+L._AC_UL320_.jpg,"Ordenador Portátil 14.1 Pulgadas 6GB RAM 64GB SSD ROM MEBERRY Windows 10 Laptop con 128GB Ampliable | HDMI Bluetooth 4.0 | Aux 3,5 mm | USB 3.0/2.0, Gris",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=26&qid=1640827208&ref=sr_pg_25#,https://m.media-amazon.com/images/I/715XOFfFmRL._AC_UL320_.jpg,"Dell XPS 13-9305 - Ordenador portátil 13.3"" FullHD (Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Windows 10 Home), Color Gris - Teclado QWERTY Español",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=26&qid=1640827208&ref=sr_pg_25#,https://m.media-amazon.com/images/I/81GbedzHTwS._AC_UL320_.jpg,"LincPlus P1 Ordenador Portátil de 13,3 Pulgadas, PC con Windows 10 S Intel Celeron N4000, 4GB RAM 64GB eMMC Storage hasta 500GB por SSD Aluminium Portatiles",
https://www.amazon.es/HP-250-G6-1WY10EA-ABZ/dp/B073GV4QXD/ref=sr_1_613?qid=1640827262&s=computers&sr=1-613,https://m.media-amazon.com/images/I/811E8KUQ6XL._AC_UL320_.jpg,"HP 255 G6- Ordenador portátil de 15.6"" HD (AMD E2-9000e, 4 GB de RAM, 500GB HDD, AMD Raden R2, Sin sistema operativo) Negro- teclado QWERTY Español",
https://www.amazon.es/HP-EliteBook-2-4GHz-i5-6300U-1080Pixeles/dp/B09FYHK4ZN/ref=sr_1_614?qid=1640827262&s=computers&sr=1-614,https://m.media-amazon.com/images/I/41Ul7SR+95L._AC_UL320_.jpg,"HP EliteBook 1040 G3 2.4GHz i5-6300U 14"" 1920 x 1080Pixeles 3G 4G Plata - Ordenador portátil (Ultrabook, Plata, Concha, Enterprise, Small Business, i5-6300U, Intel Core i5-6xxx) (Reacondicionado)",
https://www.amazon.es/PORTATIL-ASUS-F515JA-BQ1072T-I5-1035G1-512GBSSD/dp/B09DGP7RYD/ref=sr_1_615?qid=1640827262&s=computers&sr=1-615,https://m.media-amazon.com/images/I/51VMSnRrn9L._AC_UL320_.jpg,"PORTATIL ASUS F515JA-BQ1072T I5-1035G1 8GB 512GBSSD 15,6"" FH",
https://www.amazon.es/Aumaya-Ordenador-port%C3%A1til-procesador-m%C3%BAltiples/dp/B09C8RV8RD/ref=sr_1_616?qid=1640827262&s=computers&sr=1-616,https://m.media-amazon.com/images/I/61+jEA+a8nL._AC_UL320_.jpg,"Aumaya Ordenador portátil de 14,1 pulgadas Intel Z8350 procesador 2 GB DDR3 32 GB SSD con múltiples ranuras, portátil Business Office PC plata enchufe UE",
https://www.amazon.es/Dell-Vostro-5502-Ordenador-Bluetooth/dp/B08V4XCTG3/ref=sr_1_617?qid=1640827262&s=computers&sr=1-617,https://m.media-amazon.com/images/I/81RuEJPumuL._AC_UL320_.jpg,"Dell Vostro 5502 - Ordenador portátil de 15.6"" (Core i5 1135G7 2.4 GHz, 8 GB RAM, 256 GB SSD NVMe, 1920 x 1080, Iris Xe Graphics, Wi-Fi, Bluetooth, Win 10 Pro 64 bits) Gris",
https://www.amazon.es/HP-Elitebook-840-G3-reacondicionado/dp/B08JSW7T91/ref=sr_1_618?qid=1640827262&s=computers&sr=1-618,https://m.media-amazon.com/images/I/41DaEnwv-RL._AC_UL320_.jpg,"HP Elitebook 840 G3 14 pulgadas HD (1600p) | Ordenador portátil potente | Intel Core i7-6.Gen 8 GB DDR4 256 GB SSD Win 10 Pro teclado DE | 1,48 kg Plata (reacondicionado)",
https://www.amazon.es/Lenovo-Thinkpad-L14-Gen1-Amd/dp/B08FJGDYW3/ref=sr_1_619?qid=1640827262&s=computers&sr=1-619,https://m.media-amazon.com/images/I/3193NpSTPHL._AC_UL320_.jpg,Lenovo Thinkpad L14 Gen1 AMD - 20U50008Sp,
